REF_AREA,Geographic area,INDICATOR,Indicator,UNIT_MULTIPLIER,Unit multiplier,UNIT_MEASURE,Unit of measure,Value
LKA,Sri Lanka,COMM_ASSETS,Communication assets,,,IDX,Index,3.1
LKA,Sri Lanka,DENGUE,Dengue,,,IDX,Index,9.6
LKA,Sri Lanka,EDUCATION,Education,,,IDX,Index,2.4
LKA,Sri Lanka,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
LKA,Sri Lanka,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,7.7
LKA,Sri Lanka,HEATWAVES,Heatwaves,,,IDX,Index,7.9
LKA,Sri Lanka,MALARIA,Malaria,,,IDX,Index,5.8
LKA,Sri Lanka,MAT_HEALTH,Maternal health,,,IDX,Index,5.6
LKA,Sri Lanka,POLLUTION_AIR,Air pollution,,,IDX,Index,8.8
LKA,Sri Lanka,POLLUTION_LEAD,Lead pollution,,,IDX,Index,4.5
LKA,Sri Lanka,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,8.6
LKA,Sri Lanka,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,7.0
"LKA,Sri Lanka,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,3.8"
LKA,Sri Lanka,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,3.4
LKA,Sri Lanka,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,5
LKA,Sri Lanka,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,1.3
LKA,Sri Lanka,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,8.7
"LKA,Sri Lanka,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,2.4"
LKA,Sri Lanka,WATER_SCARCITY,Water scarcity,,,IDX,Index,8.2
LKA,Sri Lanka,ZIKA,Zika,,,IDX,Index,8.7
LSO,Lesotho,AEDES,Aedes,,,IDX,Index,0.0
LSO,Lesotho,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,5.4
LSO,Lesotho,CHLD_HEALTH,Child health,,,IDX,Index,6.2
LSO,Lesotho,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,7.4
LSO,Lesotho,CHLD_NUTRITION,Child nutrition,,,IDX,Index,9.5
LSO,Lesotho,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,6.6
LSO,Lesotho,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,4.0
LSO,Lesotho,COMM_ASSETS,Communication assets,,,IDX,Index,7.9
LSO,Lesotho,DENGUE,Dengue,,,IDX,Index,0.0
LSO,Lesotho,EDUCATION,Education,,,IDX,Index,2.5
LSO,Lesotho,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
LSO,Lesotho,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,5.4
LSO,Lesotho,HEATWAVES,Heatwaves,,,IDX,Index,0.0
LSO,Lesotho,MALARIA,Malaria,,,IDX,Index,0.0
LSO,Lesotho,MAT_HEALTH,Maternal health,,,IDX,Index,6.5
LSO,Lesotho,POLLUTION_AIR,Air pollution,,,IDX,Index,2.3
LSO,Lesotho,POLLUTION_LEAD,Lead pollution,,,IDX,Index,9.1
LSO,Lesotho,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,2.6
LSO,Lesotho,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,7.0
"LSO,Lesotho,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,7.8"
LSO,Lesotho,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,9
LSO,Lesotho,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,6.6
LSO,Lesotho,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
LSO,Lesotho,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,0.0
"LSO,Lesotho,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,8.6"
LSO,Lesotho,WATER_SCARCITY,Water scarcity,,,IDX,Index,9.0
LSO,Lesotho,ZIKA,Zika,,,IDX,Index,0.0
LTU,Lithuania,AEDES,Aedes,,,IDX,Index,0.0
LTU,Lithuania,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,2.4
LTU,Lithuania,CHLD_HEALTH,Child health,,,IDX,Index,1.6
LTU,Lithuania,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2.2
LTU,Lithuania,CHLD_NUTRITION,Child nutrition,,,IDX,Index,3
LTU,Lithuania,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,2.1
LTU,Lithuania,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,2.6
LTU,Lithuania,COMM_ASSETS,Communication assets,,,IDX,Index,1.1
LTU,Lithuania,DENGUE,Dengue,,,IDX,Index,0.0
LTU,Lithuania,EDUCATION,Education,,,IDX,Index,1.9
LTU,Lithuania,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
LTU,Lithuania,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,5.3
LTU,Lithuania,HEATWAVES,Heatwaves,,,IDX,Index,5.2
LTU,Lithuania,MALARIA,Malaria,,,IDX,Index,0.0
LTU,Lithuania,MAT_HEALTH,Maternal health,,,IDX,Index,1.9
LTU,Lithuania,POLLUTION_AIR,Air pollution,,,IDX,Index,4.5
LTU,Lithuania,POLLUTION_LEAD,Lead pollution,,,IDX,Index,3
LTU,Lithuania,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,2.5
LTU,Lithuania,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,2.8
"LTU,Lithuania,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,3.7"
LTU,Lithuania,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,4.5
LTU,Lithuania,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,5.6
LTU,Lithuania,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
LTU,Lithuania,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,0.0
"LTU,Lithuania,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0.6"
LTU,Lithuania,WATER_SCARCITY,Water scarcity,,,IDX,Index,0.0
LTU,Lithuania,ZIKA,Zika,,,IDX,Index,0.0
LUX,Luxembourg,AEDES,Aedes,,,IDX,Index,0.0
LUX,Luxembourg,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,1.5
LUX,Luxembourg,CHLD_HEALTH,Child health,,,IDX,Index,0.7
LUX,Luxembourg,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2.1
LUX,Luxembourg,CHLD_NUTRITION,Child nutrition,,,IDX,Index,4.4
LUX,Luxembourg,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,1.8
LUX,Luxembourg,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,1.1
LUX,Luxembourg,COMM_ASSETS,Communication assets,,,IDX,Index,2.2
LUX,Luxembourg,DENGUE,Dengue,,,IDX,Index,0.0
LUX,Luxembourg,EDUCATION,Education,,,IDX,Index,2.5
LUX,Luxembourg,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
LUX,Luxembourg,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,1.6
LUX,Luxembourg,HEATWAVES,Heatwaves,,,IDX,Index,0.0
LUX,Luxembourg,MALARIA,Malaria,,,IDX,Index,0.0
LUX,Luxembourg,MAT_HEALTH,Maternal health,,,IDX,Index,1.2
LUX,Luxembourg,POLLUTION_AIR,Air pollution,,,IDX,Index,4.2
LUX,Luxembourg,POLLUTION_LEAD,Lead pollution,,,IDX,Index,1.5
LUX,Luxembourg,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,2.0
LUX,Luxembourg,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,1.8
"LUX,Luxembourg,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,2.4"
LUX,Luxembourg,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,3.9
LUX,Luxembourg,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,1
LUX,Luxembourg,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
LUX,Luxembourg,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,0.0
"LUX,Luxembourg,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0"
LUX,Luxembourg,WATER_SCARCITY,Water scarcity,,,IDX,Index,0.0
LUX,Luxembourg,ZIKA,Zika,,,IDX,Index,0.0
LVA,Latvia,AEDES,Aedes,,,IDX,Index,0.0
LVA,Latvia,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,2.6
LVA,Latvia,CHLD_HEALTH,Child health,,,IDX,Index,1.3
LVA,Latvia,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2.7
LVA,Latvia,CHLD_NUTRITION,Child nutrition,,,IDX,Index,3
LVA,Latvia,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,1.9
LVA,Latvia,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,3.3
LVA,Latvia,COMM_ASSETS,Communication assets,,,IDX,Index,3.1
LVA,Latvia,DENGUE,Dengue,,,IDX,Index,0.0
LVA,Latvia,EDUCATION,Education,,,IDX,Index,1.1
LVA,Latvia,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
LVA,Latvia,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,8.7
LVA,Latvia,HEATWAVES,Heatwaves,,,IDX,Index,4.5
LVA,Latvia,MALARIA,Malaria,,,IDX,Index,0.0
LVA,Latvia,MAT_HEALTH,Maternal health,,,IDX,Index,3.7
LVA,Latvia,POLLUTION_AIR,Air pollution,,,IDX,Index,4.3
LVA,Latvia,POLLUTION_LEAD,Lead pollution,,,IDX,Index,3.3
LVA,Latvia,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,1.6
LVA,Latvia,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,2.5
"LVA,Latvia,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,3.6"
LVA,Latvia,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,4.4
LVA,Latvia,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,3.2
LVA,Latvia,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
LVA,Latvia,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,0.0
"LVA,Latvia,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0.3"
LVA,Latvia,WATER_SCARCITY,Water scarcity,,,IDX,Index,0.0
LVA,Latvia,ZIKA,Zika,,,IDX,Index,0.0
MAR,Morocco,AEDES,Aedes,,,IDX,Index,8.3
MAR,Morocco,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,5.4
MAR,Morocco,CHLD_HEALTH,Child health,,,IDX,Index,1.6
MAR,Morocco,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,4.7
MAR,Morocco,CHLD_NUTRITION,Child nutrition,,,IDX,Index,6.9
MAR,Morocco,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,3.3
MAR,Morocco,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,7.0
MAR,Morocco,COMM_ASSETS,Communication assets,,,IDX,Index,2.4
MAR,Morocco,DENGUE,Dengue,,,IDX,Index,5.1
MAR,Morocco,EDUCATION,Education,,,IDX,Index,1.2
MAR,Morocco,FLOODS_COASTAL,Coastal floods,,,IDX,Index,6.3
MAR,Morocco,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,6.5
MAR,Morocco,HEATWAVES,Heatwaves,,,IDX,Index,7.4
MAR,Morocco,MALARIA,Malaria,,,IDX,Index,0.0
MAR,Morocco,MAT_HEALTH,Maternal health,,,IDX,Index,5.7
MAR,Morocco,POLLUTION_AIR,Air pollution,,,IDX,Index,7.2
MAR,Morocco,POLLUTION_LEAD,Lead pollution,,,IDX,Index,6.9
MAR,Morocco,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,8.7
MAR,Morocco,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,7.9
"MAR,Morocco,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,5.0"
MAR,Morocco,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,x
MAR,Morocco,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,7.6
MAR,Morocco,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
MAR,Morocco,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,5.2
"MAR,Morocco,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,2.2"
MAR,Morocco,WATER_SCARCITY,Water scarcity,,,IDX,Index,10.0
MAR,Morocco,ZIKA,Zika,,,IDX,Index,4.7
MDA,Republic of Moldova,AEDES,Aedes,,,IDX,Index,0.0
MDA,Republic of Moldova,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,4.1
MDA,Republic of Moldova,CHLD_HEALTH,Child health,,,IDX,Index,1.7
MDA,Republic of Moldova,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2.6
MDA,Republic of Moldova,CHLD_NUTRITION,Child nutrition,,,IDX,Index,2.4
MDA,Republic of Moldova,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,2.7
MDA,Republic of Moldova,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,5.2
MDA,Republic of Moldova,COMM_ASSETS,Communication assets,,,IDX,Index,3.7
MDA,Republic of Moldova,DENGUE,Dengue,,,IDX,Index,0.0
MDA,Republic of Moldova,EDUCATION,Education,,,IDX,Index,1.9
MDA,Republic of Moldova,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
MDA,Republic of Moldova,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,5.3
MDA,Republic of Moldova,HEATWAVES,Heatwaves,,,IDX,Index,9.3
MDA,Republic of Moldova,MALARIA,Malaria,,,IDX,Index,0.0
MDA,Republic of Moldova,MAT_HEALTH,Maternal health,,,IDX,Index,3.7
MDA,Republic of Moldova,POLLUTION_AIR,Air pollution,,,IDX,Index,4.6
MDA,Republic of Moldova,POLLUTION_LEAD,Lead pollution,,,IDX,Index,6.6
MDA,Republic of Moldova,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,9.2
MDA,Republic of Moldova,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,8.2
"MDA,Republic of Moldova,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,4.1"
MDA,Republic of Moldova,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,2.5
MDA,Republic of Moldova,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,6
MDA,Republic of Moldova,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
MDA,Republic of Moldova,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,0.0
"MDA,Republic of Moldova,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,2.1"
MDA,Republic of Moldova,WATER_SCARCITY,Water scarcity,,,IDX,Index,5.5
MDA,Republic of Moldova,ZIKA,Zika,,,IDX,Index,0.0
MDG,Madagascar,AEDES,Aedes,,,IDX,Index,8.9
MDG,Madagascar,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,7.9
MDG,Madagascar,CHLD_HEALTH,Child health,,,IDX,Index,6.7
MDG,Madagascar,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,8.3
MDG,Madagascar,CHLD_NUTRITION,Child nutrition,,,IDX,Index,10
MDG,Madagascar,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,7.9
MDG,Madagascar,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,7.8
MDG,Madagascar,COMM_ASSETS,Communication assets,,,IDX,Index,10.0
MDG,Madagascar,DENGUE,Dengue,,,IDX,Index,8.5
MDG,Madagascar,EDUCATION,Education,,,IDX,Index,5.5
MDG,Madagascar,FLOODS_COASTAL,Coastal floods,,,IDX,Index,10.0
MDG,Madagascar,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,8.0
MDG,Madagascar,HEATWAVES,Heatwaves,,,IDX,Index,7.5
MDG,Madagascar,MALARIA,Malaria,,,IDX,Index,5.0
MDG,Madagascar,MAT_HEALTH,Maternal health,,,IDX,Index,8.1
MDG,Madagascar,POLLUTION_AIR,Air pollution,,,IDX,Index,1.0
MDG,Madagascar,POLLUTION_LEAD,Lead pollution,,,IDX,Index,9.7
MDG,Madagascar,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,1.5
MDG,Madagascar,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,7.4
"MDG,Madagascar,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,9.8"
MDG,Madagascar,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,x
MDG,Madagascar,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,9.6
MDG,Madagascar,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,9.5
MDG,Madagascar,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,7.7
"MDG,Madagascar,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,8.1"
MDG,Madagascar,WATER_SCARCITY,Water scarcity,,,IDX,Index,5.1
MDG,Madagascar,ZIKA,Zika,,,IDX,Index,7.1
MEX,Mexico,AEDES,Aedes,,,IDX,Index,8.6
MEX,Mexico,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,5.9
MEX,Mexico,CHLD_HEALTH,Child health,,,IDX,Index,2.1
MEX,Mexico,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,3.8
MEX,Mexico,CHLD_NUTRITION,Child nutrition,,,IDX,Index,4.4
MEX,Mexico,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,3.1
MEX,Mexico,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,7.7
MEX,Mexico,COMM_ASSETS,Communication assets,,,IDX,Index,3.5
MEX,Mexico,DENGUE,Dengue,,,IDX,Index,8.3
MEX,Mexico,EDUCATION,Education,,,IDX,Index,1.3
MEX,Mexico,FLOODS_COASTAL,Coastal floods,,,IDX,Index,6.1
MEX,Mexico,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,7.9
MEX,Mexico,HEATWAVES,Heatwaves,,,IDX,Index,6.5
MEX,Mexico,MALARIA,Malaria,,,IDX,Index,4.2
MEX,Mexico,MAT_HEALTH,Maternal health,,,IDX,Index,5
MEX,Mexico,POLLUTION_AIR,Air pollution,,,IDX,Index,4.1
MEX,Mexico,POLLUTION_LEAD,Lead pollution,,,IDX,Index,9.5
MEX,Mexico,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,8.3
MEX,Mexico,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,9.0
"MEX,Mexico,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,6.6"
MEX,Mexico,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,8.3
MEX,Mexico,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,8.1
MEX,Mexico,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,8.9
MEX,Mexico,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,7.6
"MEX,Mexico,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0.8"
MEX,Mexico,WATER_SCARCITY,Water scarcity,,,IDX,Index,9.1
MEX,Mexico,ZIKA,Zika,,,IDX,Index,8.0
MKD,North Macedonia,AEDES,Aedes,,,IDX,Index,0.0
MKD,North Macedonia,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,3.4
MKD,North Macedonia,CHLD_HEALTH,Child health,,,IDX,Index,1.3
MKD,North Macedonia,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2.9
MKD,North Macedonia,CHLD_NUTRITION,Child nutrition,,,IDX,Index,3.6
MKD,North Macedonia,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,2.0
MKD,North Macedonia,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,4.6
MKD,North Macedonia,COMM_ASSETS,Communication assets,,,IDX,Index,3.4
MKD,North Macedonia,DENGUE,Dengue,,,IDX,Index,0.0
MKD,North Macedonia,EDUCATION,Education,,,IDX,Index,0.4
MKD,North Macedonia,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.8
MKD,North Macedonia,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,3.8
MKD,North Macedonia,HEATWAVES,Heatwaves,,,IDX,Index,9.0
MKD,North Macedonia,MALARIA,Malaria,,,IDX,Index,0.0
MKD,North Macedonia,MAT_HEALTH,Maternal health,,,IDX,Index,3.8
MKD,North Macedonia,POLLUTION_AIR,Air pollution,,,IDX,Index,6.0
MKD,North Macedonia,POLLUTION_LEAD,Lead pollution,,,IDX,Index,x
MKD,North Macedonia,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,2.9
MKD,North Macedonia,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,2.9
"MKD,North Macedonia,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,4.1"
MKD,North Macedonia,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,4.1
MKD,North Macedonia,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,4.8
MKD,North Macedonia,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
MKD,North Macedonia,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,0.0
"MKD,North Macedonia,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0.4"
MKD,North Macedonia,WATER_SCARCITY,Water scarcity,,,IDX,Index,7.2
MKD,North Macedonia,ZIKA,Zika,,,IDX,Index,0.0
MLI,Mali,AEDES,Aedes,,,IDX,Index,10.0
MLI,Mali,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,7.3
MLI,Mali,CHLD_HEALTH,Child health,,,IDX,Index,9.1
MLI,Mali,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,8.6
MLI,Mali,CHLD_NUTRITION,Child nutrition,,,IDX,Index,7.3
MLI,Mali,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,7.5
MLI,Mali,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,7.0
MLI,Mali,COMM_ASSETS,Communication assets,,,IDX,Index,7.6
MLI,Mali,DENGUE,Dengue,,,IDX,Index,9.3
MLI,Mali,EDUCATION,Education,,,IDX,Index,7.9
MLI,Mali,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
MLI,Mali,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,8.5
MLI,Mali,HEATWAVES,Heatwaves,,,IDX,Index,4.5
MLI,Mali,MALARIA,Malaria,,,IDX,Index,7.1
MLI,Mali,MAT_HEALTH,Maternal health,,,IDX,Index,9.4
MLI,Mali,POLLUTION_AIR,Air pollution,,,IDX,Index,10.0
MLI,Mali,POLLUTION_LEAD,Lead pollution,,,IDX,Index,10
MLI,Mali,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,1.0
MLI,Mali,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,7.8
"MLI,Mali,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,8.1"
MLI,Mali,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,8.4
MLI,Mali,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,8.4
MLI,Mali,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
MLI,Mali,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,8.7
"MLI,Mali,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,5.3"
MLI,Mali,WATER_SCARCITY,Water scarcity,,,IDX,Index,6.9
MLI,Mali,ZIKA,Zika,,,IDX,Index,6.6
MLT,Malta,AEDES,Aedes,,,IDX,Index,7.4
MLT,Malta,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,2.1
MLT,Malta,CHLD_HEALTH,Child health,,,IDX,Index,1
MLT,Malta,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2.2
MLT,Malta,CHLD_NUTRITION,Child nutrition,,,IDX,Index,4.2
MLT,Malta,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,1.2
MLT,Malta,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,2.9
MLT,Malta,COMM_ASSETS,Communication assets,,,IDX,Index,1.9
MLT,Malta,DENGUE,Dengue,,,IDX,Index,1.9
MLT,Malta,EDUCATION,Education,,,IDX,Index,0.8
MLT,Malta,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
MLT,Malta,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,0.1
MLT,Malta,HEATWAVES,Heatwaves,,,IDX,Index,0.0
MLT,Malta,MALARIA,Malaria,,,IDX,Index,0.0
MLT,Malta,MAT_HEALTH,Maternal health,,,IDX,Index,1.4
MLT,Malta,POLLUTION_AIR,Air pollution,,,IDX,Index,3.4
MLT,Malta,POLLUTION_LEAD,Lead pollution,,,IDX,Index,2.9
MLT,Malta,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,0.0
MLT,Malta,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,1.6
"MLT,Malta,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,1.9"
MLT,Malta,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,2.6
MLT,Malta,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,1.3
MLT,Malta,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
MLT,Malta,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,3.1
"MLT,Malta,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0"
MLT,Malta,WATER_SCARCITY,Water scarcity,,,IDX,Index,8.7
MLT,Malta,ZIKA,Zika,,,IDX,Index,0.0
MMR,Myanmar,AEDES,Aedes,,,IDX,Index,9.4
MMR,Myanmar,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,7.1
MMR,Myanmar,CHLD_HEALTH,Child health,,,IDX,Index,4.3
MMR,Myanmar,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,6.6
