REF_AREA,Geographic area,INDICATOR,Indicator,UNIT_MULTIPLIER,Unit multiplier,UNIT_MEASURE,Unit of measure,Value
"AZE,Azerbaijan,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,5.5"
AZE,Azerbaijan,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,x
AZE,Azerbaijan,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,7.8
AZE,Azerbaijan,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
AZE,Azerbaijan,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,1.9
"AZE,Azerbaijan,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,1.6"
AZE,Azerbaijan,WATER_SCARCITY,Water scarcity,,,IDX,Index,6.9
AZE,Azerbaijan,ZIKA,Zika,,,IDX,Index,0.0
BDI,Burundi,AEDES,Aedes,,,IDX,Index,7.7
BDI,Burundi,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,6.1
BDI,Burundi,CHLD_HEALTH,Child health,,,IDX,Index,5.4
BDI,Burundi,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,8.1
BDI,Burundi,CHLD_NUTRITION,Child nutrition,,,IDX,Index,10
BDI,Burundi,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,7.4
BDI,Burundi,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,4.3
BDI,Burundi,COMM_ASSETS,Communication assets,,,IDX,Index,9.8
BDI,Burundi,DENGUE,Dengue,,,IDX,Index,6.9
BDI,Burundi,EDUCATION,Education,,,IDX,Index,4
BDI,Burundi,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
BDI,Burundi,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,5.2
BDI,Burundi,HEATWAVES,Heatwaves,,,IDX,Index,0.0
BDI,Burundi,MALARIA,Malaria,,,IDX,Index,4.7
BDI,Burundi,MAT_HEALTH,Maternal health,,,IDX,Index,8.9
BDI,Burundi,POLLUTION_AIR,Air pollution,,,IDX,Index,7.0
BDI,Burundi,POLLUTION_LEAD,Lead pollution,,,IDX,Index,9.6
BDI,Burundi,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,4.3
BDI,Burundi,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,7.9
"BDI,Burundi,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,8.3"
BDI,Burundi,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,x
BDI,Burundi,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,6.7
BDI,Burundi,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
BDI,Burundi,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,7.3
"BDI,Burundi,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,9.3"
BDI,Burundi,WATER_SCARCITY,Water scarcity,,,IDX,Index,0.0
BDI,Burundi,ZIKA,Zika,,,IDX,Index,8.7
BEL,Belgium,AEDES,Aedes,,,IDX,Index,0.0
BEL,Belgium,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,2.5
BEL,Belgium,CHLD_HEALTH,Child health,,,IDX,Index,1.1
BEL,Belgium,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,1.3
